# {"t_start": 1606810636.0972703, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
830.483053,1000,24.877988
831.039321,1000,44.254036
831.389559,1000,63.912385
831.733895,1000,83.263812
830.555658,1000,103.277335
828.864913,1000,124.757687
830.550189,1000,144.129539
831.480072,1000,163.529877
830.289445,1000,183.154172
831.899845,1000,202.628195
830.459054,1000,222.833841
831.062029,1000,243.254809
830.001649,1000,265.020975
831.233339,1000,286.120401
830.818427,1000,307.699033
831.147916,1000,327.051628
830.144268,1000,346.757479
830.937583,1000,366.163531
831.376684,1000,385.735571
831.828708,1000,405.219853
831.466551,1000,424.579254
831.807811,1000,443.715702
830.6802,1000,465.237942
830.538405,1000,486.192854
831.036457,1000,505.604701
831.928535,1000,525.253634
832.808322,1000,545.14382
829.422665,1000,564.799143
831.759736,1000,584.124297
832.077631,1000,603.687465
831.39561,1000,623.396443
830.8016,1000,644.003836
831.240489,1000,667.401369
830.897545,1000,687.404205
831.033748,1000,707.03888
830.550097,1000,726.412369
831.170131,1000,745.913407
831.864385,1000,765.367756
831.465101,1000,785.242904
830.275564,1000,804.748638
830.585515,1000,823.98304
830.592253,1000,843.409278
831.576723,1000,863.944358
831.933801,1000,884.010054
830.474877,1000,903.904058
830.884075,1000,923.916638
831.034778,1000,943.500404
828.691925,1000,963.220943
831.663891,1000,983.17889
829.954115,1000,1002.864376
832.226579,1000,1022.638364
831.165836,1000,1041.962164
830.570159,1000,1061.532639
831.401007,1000,1081.086567
830.613052,1000,1100.740545
831.76888,1000,1122.118191
829.521981,1000,1142.45869
831.822946,1000,1163.799286
831.09254,1000,1185.704745
831.416349,1000,1205.060012
831.121835,1000,1225.001987
830.739203,1000,1245.158805
830.67588,1000,1265.610772
831.011024,1000,1285.614791
830.722486,1000,1306.363847
830.700822,1000,1328.426381
831.116456,1000,1349.52655
831.413422,1000,1369.562778
831.316909,1000,1389.419113
830.164485,1000,1409.957024
831.480424,1000,1430.332964
831.648621,1000,1451.076243
831.071345,1000,1470.491714
831.129022,1000,1489.983566
831.899308,1000,1509.450291
831.161173,1000,1528.840143
832.52802,1000,1548.424686
832.214492,1000,1568.017761
829.700567,1000,1587.68438
830.791292,1000,1607.142035
832.713669,1000,1626.581519
829.929798,1000,1646.078401
830.867162,1000,1666.660867
831.788569,1000,1686.332514
830.368021,1000,1705.782948
830.597421,1000,1724.984271
830.172648,1000,1744.212444
831.868805,1000,1763.764937
830.785094,1000,1783.269
830.938016,1000,1802.756721
830.867492,1000,1822.527269
829.935321,1000,1842.649689
833.591077,1000,1861.97253
831.722907,1000,1881.46122
831.507527,1000,1900.76184
830.860815,1000,1920.035639
831.713429,1000,1939.752923
830.863615,1000,1959.460331
832.125084,1000,1979.101194
829.574179,1000,1998.499978
