# {"t_start": 1606812793.2512703, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
810.809541,1000,22.600948
811.329992,1000,41.904545
810.67766,1000,61.633682
809.95427,1000,80.666826
809.892104,1000,99.765465
809.982885,1000,118.936811
811.375544,1000,138.056149
810.738878,1000,156.947873
810.691417,1000,176.185899
811.45345,1000,195.102713
810.776751,1000,214.289593
811.10293,1000,233.81326
810.551026,1000,253.300542
810.604775,1000,272.585437
810.612939,1000,291.754374
809.129041,1000,310.865974
811.224922,1000,330.172241
810.541988,1000,349.335359
809.887249,1000,368.279941
810.161126,1000,387.334709
809.755712,1000,406.076609
810.679072,1000,426.920152
812.008375,1000,447.709267
812.064691,1000,466.669402
812.848198,1000,485.865929
810.531992,1000,505.15527
811.131553,1000,524.252259
812.910626,1000,543.462416
810.680017,1000,562.571297
809.586834,1000,581.354438
809.99827,1000,600.507498
811.383751,1000,619.298625
810.954528,1000,638.89688
810.21202,1000,658.004258
811.026585,1000,677.407129
811.286815,1000,696.613349
811.326157,1000,715.664389
810.32908,1000,734.822651
810.202603,1000,753.921797
810.070089,1000,772.958197
811.21624,1000,791.963247
811.431295,1000,811.033325
809.896044,1000,830.019176
811.876589,1000,849.1437
810.074427,1000,868.077692
811.445222,1000,887.213627
810.310991,1000,906.203537
809.42407,1000,925.438476
811.83938,1000,944.364981
809.562053,1000,963.597262
810.268674,1000,982.834734
810.226395,1000,1002.261079
810.229949,1000,1021.479623
810.983639,1000,1040.646007
811.120639,1000,1059.809245
810.61961,1000,1079.122133
811.220882,1000,1098.230661
810.805621,1000,1117.027672
811.345529,1000,1136.036039
810.17021,1000,1155.37999
811.656429,1000,1174.341686
810.565309,1000,1193.809845
811.182175,1000,1212.902572
810.935882,1000,1231.935407
811.713812,1000,1250.777383
810.406423,1000,1269.810785
810.785488,1000,1289.130184
811.025026,1000,1308.192202
809.668082,1000,1327.040589
811.187344,1000,1346.197066
811.641841,1000,1364.929117
810.818119,1000,1384.08637
810.374962,1000,1403.576884
812.317226,1000,1422.859701
810.532209,1000,1442.138449
811.012839,1000,1461.370092
811.18616,1000,1480.470445
810.89981,1000,1501.263348
811.80778,1000,1523.662239
810.685232,1000,1543.108137
810.735292,1000,1562.216037
811.978026,1000,1581.83767
809.61606,1000,1601.108328
810.698478,1000,1620.371954
808.957475,1000,1639.516098
813.306268,1000,1658.703689
811.129391,1000,1677.641742
811.586346,1000,1696.779247
811.57525,1000,1715.722646
811.239376,1000,1734.934299
810.361609,1000,1753.737241
811.374235,1000,1772.598849
810.473726,1000,1791.21191
810.459521,1000,1810.398102
811.27073,1000,1829.592233
812.381196,1000,1848.823275
811.464936,1000,1868.147875
810.880922,1000,1886.987697
810.387261,1000,1906.094862
811.479266,1000,1925.462171
