# {"t_start": 1606763188.9776337, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
164.296577,1000,1845.116946
199.981895,1000,3632.380809
386.957833,1000,5390.984295
525.2125,1000,7152.020483
682.632632,1000,8911.270043
731.316998,1000,10679.044447
765.627086,1000,12443.46504
759.805183,1000,14210.211091
842.367201,1000,15976.277272
809.55754,1000,17739.805702
862.412035,1000,19501.13689
679.369336,1000,21267.748558
847.236526,1000,23031.88238
692.48675,1000,24799.329822
810.413818,1000,26588.633054
859.969485,1000,28373.027736
673.487038,1000,30128.72195
800.296019,1000,31326.383567
859.1189,1000,32505.92762
802.294624,1000,33695.168821
833.394421,1000,34871.928514
5825
137.348723,1000,286.437085
99.602641,1000,302.133207
148.785238,1000,320.080914
156.587394,1000,336.967403
231.375314,1000,355.233679
183.923086,1000,375.398223
202.713417,1000,394.579733
205.780116,1000,415.888389
208.334705,1000,435.666717
174.331138,1000,453.619583
190.662021,1000,471.608475
198.096521,1000,489.659799
193.506132,1000,508.015426
200.22968,1000,525.839383
182.78296,1000,543.843821
156.1132,1000,562.10521
210.523472,1000,580.097251
207.40404,1000,598.197304
193.112523,1000,616.280384
234.062114,1000,634.365357
197.264211,1000,655.728898
182.254807,1000,674.063472
206.333116,1000,692.277858
246.869297,1000,711.913926
218.680994,1000,732.226903
182.915173,1000,751.807671
237.905332,1000,771.353945
220.20224,1000,790.375792
227.877299,1000,808.68346
194.782268,1000,827.227638
215.529761,1000,847.525272
213.094882,1000,866.084449
262.363853,1000,884.261138
240.423689,1000,902.556158
227.083594,1000,922.021023
250.878388,1000,941.403596
214.271969,1000,958.987272
216.787404,1000,977.687715
248.681462,1000,999.482878
224.660342,1000,1022.864105
206.336574,1000,1043.479132
206.638596,1000,1066.583809
254.676467,1000,1088.305863
175.717012,1000,1109.768458
209.122834,1000,1130.523167
220.889885,1000,1151.988858
242.104761,1000,1172.643882
267.06023,1000,1193.118897
181.817531,1000,1213.8482
223.487325,1000,1234.42763
156.98958,1000,1254.177171
242.987398,1000,1275.92434
230.522089,1000,1298.251715
178.355387,1000,1320.760991
223.789526,1000,1343.539969
188.913134,1000,1366.448433
252.228799,1000,1388.861814
220.439125,1000,1409.891681
265.391078,1000,1430.720501
177.898083,1000,1449.930522
214.435394,1000,1469.018765
173.899002,1000,1488.263045
239.192811,1000,1506.649377
178.178546,1000,1526.162857
185.42765,1000,1545.536658
191.844651,1000,1564.868688
234.014229,1000,1583.907055
196.17744,1000,1603.425911
196.297199,1000,1623.502241
205.734153,1000,1642.700486
224.289264,1000,1663.402812
200.048452,1000,1683.103293
177.848535,1000,1702.885871
198.077373,1000,1722.455293
175.799327,1000,1742.269378
224.122572,1000,1761.751219
188.24015,1000,1780.974669
215.964355,1000,1800.489248
227.119037,1000,1819.651821
233.465229,1000,1857.800439
214.723869,1000,1877.731007
184.687296,1000,1899.317972
202.023886,1000,1919.895601
186.069853,1000,1938.197497
202.814222,1000,1957.238292
266.071839,1000,1977.445237
244.317344,1000,1996.503636
210.553503,1000,2015.769995
202.793735,1000,2034.605372
207.014526,1000,2053.767474
197.584415,1000,2072.791673
223.601856,1000,2091.587975
182.879696,1000,2110.60294
209.219669,1000,2130.363359
150.808466,1000,2147.869715
208.707785,1000,2165.438637
165.228411,1000,2182.931853
182.398719,1000,2199.945269
210.181481,1000,2216.958764
188.932523,1000,2233.820185
153.475831,1000,2250.558157
155.077674,1000,2267.403499
266.136754,1000,2284.446898
151.132215,1000,2301.528584
175.700822,1000,2317.635869
203.708675,1000,2334.843113
181.220612,1000,2351.695099
150.969235,1000,2368.383269
269.676873,1000,2385.173287
202.619147,1000,2402.213112
196.690772,1000,2419.376514
163.237216,1000,2436.523882
159.549818,1000,2453.72332
215.610107,1000,2470.753442
197.459391,1000,2487.599438
160.591663,1000,2504.862531
160.003463,1000,2521.688515
141.674103,1000,2538.580935
149.154816,1000,2555.384389
198.042234,1000,2572.487839
150.337374,1000,2589.322466
147.745624,1000,2606.187198
142.185369,1000,2623.141662
139.422556,1000,2639.965394
175.285227,1000,2656.773196
196.716493,1000,2673.859595
171.400749,1000,2689.919194
169.341029,1000,2706.996702
143.406904,1000,2723.623606
177.984385,1000,2740.679528
262.824075,1000,2757.730073
227.64143,1000,2774.353103
