# {"t_start": 1606637062.573178, "env_id": "DMBenchCartpoleSwingup-v0"} 
r,l,t
773.372264,1000,19.179891
762.062857,1000,37.879767
766.501968,1000,55.030056
769.559169,1000,72.548373
774.200667,1000,90.331508
771.848487,1000,107.865414
761.319619,1000,126.019328
766.228021,1000,143.706877
771.242344,1000,161.27458
771.622369,1000,178.585844
764.155089,1000,196.069499
764.04258,1000,213.486968
768.697287,1000,230.820206
769.322251,1000,248.106283
759.187392,1000,265.573017
774.451,1000,282.939456
772.437567,1000,300.426111
756.409044,1000,317.811185
776.568265,1000,335.274005
775.676119,1000,352.67795
774.753599,1000,370.056792
771.769128,1000,387.324635
777.033465,1000,404.459199
768.052735,1000,422.011836
765.362408,1000,439.427021
774.05539,1000,456.710918
769.497426,1000,474.177478
774.250616,1000,491.694484
775.086656,1000,509.322294
773.394823,1000,526.879173
776.55741,1000,544.444867
765.033812,1000,562.00024
760.287075,1000,579.771983
769.101192,1000,597.637531
770.561904,1000,615.470251
768.823305,1000,633.295563
775.903454,1000,651.0259
769.769813,1000,668.775106
769.279278,1000,686.528455
778.645514,1000,704.433964
779.728854,1000,722.643547
764.997038,1000,740.523617
771.208778,1000,759.065272
775.797005,1000,777.72402
777.99471,1000,797.258304
772.563394,1000,815.409584
768.501961,1000,834.304919
773.883942,1000,853.272201
774.507037,1000,872.845118
769.136805,1000,891.177642
770.390076,1000,909.012962
769.646676,1000,927.62966
765.305554,1000,946.368937
763.603786,1000,964.169752
759.312491,1000,981.731736
768.691054,1000,999.284209
771.84403,1000,1017.972686
772.083709,1000,1037.022424
776.522693,1000,1056.07923
769.726043,1000,1075.470251
775.716712,1000,1093.284288
770.378807,1000,1111.735553
772.391467,1000,1130.424896
770.490687,1000,1149.363411
770.150849,1000,1168.21202
771.787102,1000,1187.153801
773.758342,1000,1205.640111
774.318982,1000,1223.852876
774.118367,1000,1242.292325
767.44193,1000,1260.914506
775.739799,1000,1279.780309
754.399732,1000,1298.789508
771.196185,1000,1317.583901
769.68546,1000,1336.14362
765.567264,1000,1354.645498
773.254748,1000,1373.449954
763.257594,1000,1391.218586
777.639579,1000,1408.865418
766.988258,1000,1428.92417
771.15123,1000,1447.943762
775.588318,1000,1469.60773
771.79995,1000,1491.726077
775.637147,1000,1514.730942
773.279865,1000,1537.389367
766.63371,1000,1559.867534
774.320727,1000,1580.464738
764.295075,1000,1599.634912
769.394532,1000,1617.225972
775.090911,1000,1634.839849
775.882732,1000,1652.757768
770.068225,1000,1670.423262
773.428159,1000,1688.411234
774.225514,1000,1706.634189
772.174599,1000,1725.178982
778.058834,1000,1742.283339
769.216701,1000,1759.812557
766.434435,1000,1776.944959
768.736383,1000,1793.945226
764.914561,1000,1810.877517
768.795345,1000,1827.778478
